,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1763,"['female', 'AT', 29, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 30, 'Compulsory', 'No', 'other', 'Yes']","['female', 'AT', 31, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 32, 'Compulsory', 'No', 'other', 'Yes']","['female', 'AT', 33, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 34, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 35, 'university', 'No', 'other', 'Yes']","['female', 'AT', 36, 'university', 'No', 'other', 'Yes']","['female', 'AT', 37, 'university', 'No', 'other', 'Yes']","['female', 'AT', 38, 'university', 'No', 'other', 'Yes']","['female', 'AT', 39, 'university', 'No', 'other', 'Yes']"
1090,"['male', 'AT', 34, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 35, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 36, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 37, 'not stated', 'No', 'other', 'No']","['male', 'AT', 38, 'not stated', 'No', 'other', 'No']","['male', 'AT', 39, 'not stated', 'No', 'other', 'No']","['male', 'AT', 40, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 41, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 42, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 43, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 44, 'Apprenticeship', 'No', 'other', 'No']"
2332,"['male', 'AT', 48, 'Compulsory', 'No', 'other', 'No']","['male', 'AT', 49, 'not stated', 'No', 'other', 'No']","['male', 'AT', 50, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 51, 'university', 'No', 'other', 'No']","['male', 'AT', 52, 'not stated', 'No', 'other', 'No']","['male', 'AT', 53, 'not stated', 'No', 'other', 'No']","['male', 'AT', 54, 'not stated', 'No', 'other', 'No']","['male', 'AT', 55, 'university', 'Yes', 'other', 'No']","['male', 'AT', 56, 'university', 'Yes', 'other', 'No']","['male', 'AT', 57, 'university', 'Yes', 'other', 'No']","['male', 'AT', 58, 'not stated', 'Yes', 'other', 'No']"
1798,"['female', 'AT', 54, 'high school', 'No', 'other', 'No']","['female', 'AT', 55, 'not stated', 'No', 'other', 'No']","['female', 'AT', 56, 'high school', 'No', 'other', 'No']","['female', 'AT', 57, 'high school', 'No', 'other', 'No']","['female', 'AT', 58, 'high school', 'Yes', 'other', 'No']","['female', 'AT', 59, 'not stated', 'Yes', 'other', 'No']","['female', 'AT', 60, 'university', 'Yes', 'other', 'No']","['female', 'AT', 61, 'university', 'Yes', 'other', 'No']","['female', 'AT', 62, 'university', 'Yes', 'other', 'No']","['female', 'AT', 63, 'university', 'Yes', 'other', 'No']","['female', 'AT', 64, 'not stated', 'Yes', 'other', 'No']"
1268,"['male', 'AT', 21, 'university', 'No', 'other', 'No']","['male', 'AT', 22, 'university', 'No', 'other', 'No']","['male', 'AT', 23, 'not stated', 'No', 'other', 'No']","['male', 'AT', 24, 'university', 'No', 'other', 'No']","['male', 'AT', 25, 'not stated', 'No', 'other', 'No']","['male', 'AT', 26, 'not stated', 'No', 'other', 'No']","['male', 'AT', 27, 'university', 'No', 'other', 'No']","['male', 'AT', 28, 'university', 'No', 'other', 'No']","['male', 'AT', 29, 'university', 'No', 'other', 'No']","['male', 'AT', 30, 'not stated', 'No', 'other', 'No']","['male', 'AT', 31, 'not stated', 'No', 'other', 'No']"
1256,"['female', 'AT', 24, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 25, 'Compulsory', 'No', 'other', 'Yes']","['female', 'AT', 26, 'university', 'No', 'other', 'Yes']","['female', 'AT', 27, 'university', 'No', 'other', 'Yes']","['female', 'AT', 28, 'university', 'No', 'other', 'Yes']","['female', 'AT', 29, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 30, 'university', 'No', 'other', 'Yes']","['female', 'AT', 31, 'university', 'No', 'other', 'Yes']","['female', 'AT', 32, 'university', 'No', 'other', 'Yes']","['female', 'AT', 33, 'university', 'No', 'other', 'Yes']","['female', 'AT', 34, 'university', 'No', 'other', 'Yes']"
547,"['female', 'AT', 41, 'Compulsory', 'No', 'service', 'No']","['female', 'AT', 42, 'Compulsory', 'No', 'service', 'No']","['female', 'AT', 43, 'Apprenticeship', 'No', 'service', 'No']","['female', 'AT', 44, 'not stated', 'No', 'service', 'No']","['female', 'AT', 45, 'Apprenticeship', 'No', 'service', 'No']","['female', 'AT', 46, 'high school', 'No', 'service', 'No']","['female', 'AT', 47, 'high school', 'No', 'service', 'No']","['female', 'AT', 48, 'university', 'No', 'service', 'No']","['female', 'AT', 49, 'university', 'No', 'service', 'No']","['female', 'AT', 50, 'not stated', 'No', 'service', 'No']","['female', 'AT', 51, 'not stated', 'No', 'service', 'No']"
2301,"['female', 'AT', 44, 'high school', 'No', 'other', 'No']","['female', 'AT', 45, 'not stated', 'No', 'other', 'No']","['female', 'AT', 46, 'high school', 'No', 'other', 'No']","['female', 'AT', 47, 'high school', 'No', 'other', 'No']","['female', 'AT', 48, 'high school', 'No', 'other', 'No']","['female', 'AT', 49, 'high school', 'No', 'other', 'No']","['female', 'AT', 50, 'high school', 'No', 'other', 'No']","['female', 'AT', 51, 'high school', 'No', 'other', 'No']","['female', 'AT', 52, 'high school', 'No', 'other', 'No']","['female', 'AT', 53, 'university', 'No', 'other', 'No']","['female', 'AT', 54, 'university', 'No', 'other', 'No']"
351,"['female', 'AT', 50, 'Compulsory', 'No', 'service', 'No']","['female', 'AT', 51, 'Compulsory', 'No', 'service', 'No']","['female', 'AT', 52, 'Apprenticeship', 'No', 'service', 'No']","['female', 'AT', 53, 'Apprenticeship', 'No', 'service', 'No']","['female', 'AT', 54, 'Apprenticeship', 'No', 'service', 'No']","['female', 'AT', 55, 'Apprenticeship', 'No', 'service', 'No']","['female', 'AT', 56, 'Apprenticeship', 'Yes', 'service', 'No']","['female', 'AT', 57, 'university', 'Yes', 'service', 'No']","['female', 'AT', 58, 'university', 'Yes', 'service', 'No']","['female', 'AT', 59, 'university', 'Yes', 'service', 'No']","['female', 'AT', 60, 'university', 'Yes', 'service', 'No']"
2037,"['male', 'AT', 20, 'Compulsory', 'No', 'other', 'No']","['male', 'AT', 21, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 22, 'not stated', 'No', 'other', 'No']","['male', 'AT', 23, 'not stated', 'No', 'other', 'No']","['male', 'AT', 24, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 25, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 26, 'not stated', 'No', 'other', 'No']","['male', 'AT', 27, 'not stated', 'No', 'other', 'No']","['male', 'AT', 28, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 29, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 30, 'Apprenticeship', 'No', 'other', 'No']"
