,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
879,"['male', 'AT', 26, 'high school', 'No', 'other', 'No']","['male', 'AT', 27, 'not stated', 'No', 'other', 'No']","['male', 'AT', 28, 'high school', 'No', 'other', 'No']","['male', 'AT', 29, 'high school', 'No', 'other', 'No']","['male', 'AT', 30, 'high school', 'No', 'other', 'No']","['male', 'AT', 31, 'high school', 'No', 'other', 'No']","['male', 'AT', 32, 'high school', 'No', 'other', 'No']","['male', 'AT', 33, 'high school', 'No', 'other', 'No']","['male', 'AT', 34, 'high school', 'No', 'other', 'No']","['male', 'AT', 35, 'university', 'No', 'other', 'No']","['male', 'AT', 36, 'university', 'No', 'other', 'No']"
1762,"['male', 'Non-EU', 24, 'high school', 'No', 'service', 'No']","['male', 'Non-EU', 25, 'high school', 'No', 'service', 'No']","['male', 'Non-EU', 26, 'not stated', 'No', 'service', 'No']","['male', 'Non-EU', 27, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 28, 'not stated', 'No', 'service', 'No']","['male', 'Non-EU', 29, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 30, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 31, 'not stated', 'No', 'service', 'No']","['male', 'Non-EU', 32, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 33, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 34, 'university', 'No', 'service', 'No']"
2934,"['male', 'AT', 48, 'university', 'No', 'other', 'No']","['male', 'AT', 49, 'not stated', 'No', 'other', 'No']","['male', 'AT', 50, 'university', 'No', 'other', 'No']","['male', 'AT', 51, 'university', 'No', 'other', 'No']","['male', 'AT', 52, 'not stated', 'No', 'other', 'No']","['male', 'AT', 53, 'not stated', 'No', 'other', 'No']","['male', 'AT', 54, 'not stated', 'No', 'other', 'No']","['male', 'AT', 55, 'university', 'No', 'other', 'No']","['male', 'AT', 56, 'university', 'Yes', 'other', 'No']","['male', 'AT', 57, 'university', 'Yes', 'other', 'No']","['male', 'AT', 58, 'not stated', 'Yes', 'other', 'No']"
80,"['female', 'AT', 49, 'not stated', 'No', 'service', 'Yes']","['female', 'AT', 50, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 51, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 52, 'university', 'No', 'service', 'Yes']","['female', 'AT', 53, 'university', 'No', 'service', 'Yes']","['female', 'AT', 54, 'university', 'No', 'service', 'Yes']","['female', 'AT', 55, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 56, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 57, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 58, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 59, 'not stated', 'Yes', 'service', 'Yes']"
2190,"['female', 'AT', 26, 'Apprenticeship', 'No', 'other', 'No']","['female', 'AT', 27, 'Apprenticeship', 'No', 'other', 'No']","['female', 'AT', 28, 'not stated', 'No', 'other', 'No']","['female', 'AT', 29, 'not stated', 'No', 'other', 'No']","['female', 'AT', 30, 'university', 'No', 'other', 'No']","['female', 'AT', 31, 'university', 'No', 'other', 'No']","['female', 'AT', 32, 'university', 'No', 'other', 'No']","['female', 'AT', 33, 'university', 'No', 'other', 'No']","['female', 'AT', 34, 'university', 'No', 'other', 'No']","['female', 'AT', 35, 'university', 'No', 'other', 'No']","['female', 'AT', 36, 'university', 'No', 'other', 'No']"
1057,"['female', 'AT', 19, 'not stated', 'No', 'production', 'Yes']","['female', 'AT', 20, 'Compulsory', 'No', 'production', 'Yes']","['female', 'AT', 21, 'not stated', 'No', 'production', 'Yes']","['female', 'AT', 22, 'Compulsory', 'No', 'production', 'Yes']","['female', 'AT', 23, 'Compulsory', 'No', 'production', 'Yes']","['female', 'AT', 24, 'university', 'No', 'production', 'Yes']","['female', 'AT', 25, 'university', 'No', 'production', 'Yes']","['female', 'AT', 26, 'university', 'No', 'production', 'Yes']","['female', 'AT', 27, 'university', 'No', 'production', 'Yes']","['female', 'AT', 28, 'university', 'No', 'production', 'Yes']","['female', 'AT', 29, 'university', 'No', 'production', 'Yes']"
30,"['male', 'AT', 26, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 27, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 28, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 29, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 30, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 31, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 32, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 33, 'not stated', 'No', 'other', 'No']","['male', 'AT', 34, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 35, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 36, 'Apprenticeship', 'No', 'other', 'No']"
507,"['male', 'AT', 52, 'high school', 'No', 'other', 'No']","['male', 'AT', 53, 'university', 'No', 'other', 'No']","['male', 'AT', 54, 'not stated', 'No', 'other', 'No']","['male', 'AT', 55, 'university', 'Yes', 'other', 'No']","['male', 'AT', 56, 'university', 'Yes', 'other', 'No']","['male', 'AT', 57, 'university', 'Yes', 'other', 'No']","['male', 'AT', 58, 'university', 'Yes', 'other', 'No']","['male', 'AT', 59, 'university', 'Yes', 'other', 'No']","['male', 'AT', 60, 'university', 'Yes', 'other', 'No']","['male', 'AT', 61, 'not stated', 'Yes', 'other', 'No']","['male', 'AT', 62, 'not stated', 'Yes', 'other', 'No']"
335,"['female', 'AT', 23, 'university', 'No', 'other', 'Yes']","['female', 'AT', 24, 'university', 'No', 'other', 'Yes']","['female', 'AT', 25, 'university', 'No', 'other', 'Yes']","['female', 'AT', 26, 'university', 'No', 'other', 'Yes']","['female', 'AT', 27, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 28, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 29, 'university', 'No', 'other', 'Yes']","['female', 'AT', 30, 'university', 'No', 'other', 'Yes']","['female', 'AT', 31, 'university', 'No', 'other', 'Yes']","['female', 'AT', 32, 'university', 'No', 'other', 'Yes']","['female', 'AT', 33, 'university', 'No', 'other', 'Yes']"
694,"['female', 'AT', 45, 'Apprenticeship', 'No', 'production', 'Yes']","['female', 'AT', 46, 'not stated', 'No', 'production', 'Yes']","['female', 'AT', 47, 'not stated', 'No', 'production', 'Yes']","['female', 'AT', 48, 'Apprenticeship', 'No', 'production', 'Yes']","['female', 'AT', 49, 'not stated', 'No', 'production', 'Yes']","['female', 'AT', 50, 'not stated', 'No', 'production', 'Yes']","['female', 'AT', 51, 'not stated', 'No', 'production', 'Yes']","['female', 'AT', 52, 'Apprenticeship', 'No', 'production', 'Yes']","['female', 'AT', 53, 'Apprenticeship', 'No', 'production', 'Yes']","['female', 'AT', 54, 'Apprenticeship', 'No', 'production', 'Yes']","['female', 'AT', 55, 'high school', 'Yes', 'production', 'Yes']"
