,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1817,"['female', 'AT', 18, 'Compulsory', 'No', 'other', 'No']","['female', 'AT', 19, 'not stated', 'No', 'other', 'No']","['female', 'AT', 20, 'high school', 'No', 'other', 'No']","['female', 'AT', 21, 'university', 'No', 'other', 'No']","['female', 'AT', 22, 'university', 'No', 'other', 'No']","['female', 'AT', 23, 'university', 'No', 'other', 'No']","['female', 'AT', 24, 'not stated', 'No', 'other', 'No']","['female', 'AT', 25, 'university', 'No', 'other', 'No']","['female', 'AT', 26, 'not stated', 'No', 'other', 'No']","['female', 'AT', 27, 'university', 'No', 'other', 'No']","['female', 'AT', 28, 'university', 'No', 'other', 'No']"
900,"['male', 'AT', 24, 'not stated', 'No', 'other', 'No']","['male', 'AT', 25, 'not stated', 'No', 'other', 'No']","['male', 'AT', 26, 'Compulsory', 'No', 'other', 'No']","['male', 'AT', 27, 'high school', 'No', 'other', 'No']","['male', 'AT', 28, 'high school', 'No', 'other', 'No']","['male', 'AT', 29, 'university', 'No', 'other', 'No']","['male', 'AT', 30, 'not stated', 'No', 'other', 'No']","['male', 'AT', 31, 'university', 'No', 'other', 'No']","['male', 'AT', 32, 'university', 'No', 'other', 'No']","['male', 'AT', 33, 'university', 'No', 'other', 'No']","['male', 'AT', 34, 'not stated', 'No', 'other', 'No']"
2546,"['male', 'AT', 53, 'Compulsory', 'No', 'production', 'No']","['male', 'AT', 54, 'Apprenticeship', 'No', 'production', 'No']","['male', 'AT', 55, 'Apprenticeship', 'Yes', 'production', 'No']","['male', 'AT', 56, 'not stated', 'Yes', 'production', 'No']","['male', 'AT', 57, 'Apprenticeship', 'Yes', 'production', 'No']","['male', 'AT', 58, 'Apprenticeship', 'Yes', 'production', 'No']","['male', 'AT', 59, 'not stated', 'Yes', 'production', 'No']","['male', 'AT', 60, 'Apprenticeship', 'Yes', 'production', 'No']","['male', 'AT', 61, 'Apprenticeship', 'Yes', 'production', 'No']","['male', 'AT', 62, 'Apprenticeship', 'Yes', 'production', 'No']","['male', 'AT', 63, 'not stated', 'Yes', 'production', 'No']"
2083,"['male', 'AT', 26, 'university', 'No', 'other', 'No']","['male', 'AT', 27, 'university', 'No', 'other', 'No']","['male', 'AT', 28, 'university', 'No', 'other', 'No']","['male', 'AT', 29, 'university', 'No', 'other', 'No']","['male', 'AT', 30, 'university', 'No', 'other', 'No']","['male', 'AT', 31, 'university', 'No', 'other', 'No']","['male', 'AT', 32, 'university', 'No', 'other', 'No']","['male', 'AT', 33, 'university', 'No', 'other', 'No']","['male', 'AT', 34, 'university', 'No', 'other', 'No']","['male', 'AT', 35, 'university', 'No', 'other', 'No']","['male', 'AT', 36, 'university', 'No', 'other', 'No']"
266,"['male', 'AT', 29, 'not stated', 'No', 'other', 'No']","['male', 'AT', 30, 'university', 'No', 'other', 'No']","['male', 'AT', 31, 'university', 'No', 'other', 'No']","['male', 'AT', 32, 'university', 'No', 'other', 'No']","['male', 'AT', 33, 'university', 'No', 'other', 'No']","['male', 'AT', 34, 'university', 'No', 'other', 'No']","['male', 'AT', 35, 'not stated', 'No', 'other', 'No']","['male', 'AT', 36, 'university', 'No', 'other', 'No']","['male', 'AT', 37, 'university', 'No', 'other', 'No']","['male', 'AT', 38, 'university', 'No', 'other', 'No']","['male', 'AT', 39, 'university', 'No', 'other', 'No']"
321,"['male', 'Non-EU', 38, 'university', 'No', 'other', 'No']","['male', 'Non-EU', 39, 'university', 'No', 'other', 'No']","['male', 'Non-EU', 40, 'university', 'No', 'other', 'No']","['male', 'Non-EU', 41, 'not stated', 'No', 'other', 'No']","['male', 'Non-EU', 42, 'university', 'No', 'other', 'No']","['male', 'Non-EU', 43, 'not stated', 'No', 'other', 'No']","['male', 'Non-EU', 44, 'university', 'No', 'other', 'No']","['male', 'Non-EU', 45, 'university', 'No', 'other', 'No']","['male', 'Non-EU', 46, 'not stated', 'No', 'other', 'No']","['male', 'Non-EU', 47, 'university', 'No', 'other', 'No']","['male', 'Non-EU', 48, 'university', 'No', 'other', 'No']"
93,"['female', 'AT', 40, 'Apprenticeship', 'No', 'other', 'No']","['female', 'AT', 41, 'not stated', 'No', 'other', 'No']","['female', 'AT', 42, 'high school', 'No', 'other', 'No']","['female', 'AT', 43, 'high school', 'No', 'other', 'No']","['female', 'AT', 44, 'high school', 'No', 'other', 'No']","['female', 'AT', 45, 'high school', 'No', 'other', 'No']","['female', 'AT', 46, 'high school', 'No', 'other', 'No']","['female', 'AT', 47, 'not stated', 'No', 'other', 'No']","['female', 'AT', 48, 'university', 'No', 'other', 'No']","['female', 'AT', 49, 'university', 'No', 'other', 'No']","['female', 'AT', 50, 'university', 'No', 'other', 'No']"
0,"['female', 'AT', 39, 'not stated', 'No', 'other', 'No']","['female', 'AT', 40, 'university', 'No', 'other', 'No']","['female', 'AT', 41, 'university', 'No', 'other', 'No']","['female', 'AT', 42, 'university', 'No', 'other', 'No']","['female', 'AT', 43, 'university', 'No', 'other', 'No']","['female', 'AT', 44, 'not stated', 'No', 'other', 'No']","['female', 'AT', 45, 'university', 'No', 'other', 'No']","['female', 'AT', 46, 'not stated', 'No', 'other', 'No']","['female', 'AT', 47, 'university', 'No', 'other', 'No']","['female', 'AT', 48, 'university', 'No', 'other', 'No']","['female', 'AT', 49, 'not stated', 'No', 'other', 'No']"
2012,"['male', 'Non-EU', 55, 'Compulsory', 'No', 'other', 'No']","['male', 'Non-EU', 56, 'Compulsory', 'Yes', 'other', 'No']","['male', 'Non-EU', 57, 'Apprenticeship', 'Yes', 'other', 'No']","['male', 'Non-EU', 58, 'Apprenticeship', 'Yes', 'other', 'No']","['male', 'Non-EU', 59, 'high school', 'Yes', 'other', 'No']","['male', 'Non-EU', 60, 'high school', 'Yes', 'other', 'No']","['male', 'Non-EU', 61, 'not stated', 'Yes', 'other', 'No']","['male', 'Non-EU', 62, 'high school', 'Yes', 'other', 'No']","['male', 'Non-EU', 63, 'high school', 'Yes', 'other', 'No']","['male', 'Non-EU', 64, 'high school', 'Yes', 'other', 'No']","['male', 'Non-EU', 65, 'university', 'Yes', 'other', 'No']"
270,"['female', 'AT', 42, 'Apprenticeship', 'No', 'other', 'No']","['female', 'AT', 43, 'Apprenticeship', 'No', 'other', 'No']","['female', 'AT', 44, 'Apprenticeship', 'No', 'other', 'No']","['female', 'AT', 45, 'not stated', 'No', 'other', 'No']","['female', 'AT', 46, 'university', 'No', 'other', 'No']","['female', 'AT', 47, 'university', 'No', 'other', 'No']","['female', 'AT', 48, 'university', 'No', 'other', 'No']","['female', 'AT', 49, 'university', 'No', 'other', 'No']","['female', 'AT', 50, 'not stated', 'No', 'other', 'No']","['female', 'AT', 51, 'university', 'No', 'other', 'No']","['female', 'AT', 52, 'university', 'No', 'other', 'No']"
