,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1298,"['male', 'AT', 24, 'Compulsory', 'No', 'other', 'No']","['male', 'AT', 25, 'university', 'No', 'other', 'No']","['male', 'AT', 26, 'university', 'No', 'other', 'No']","['male', 'AT', 27, 'not stated', 'No', 'other', 'No']","['male', 'AT', 28, 'university', 'No', 'other', 'No']","['male', 'AT', 29, 'not stated', 'No', 'other', 'No']","['male', 'AT', 30, 'university', 'No', 'other', 'No']","['male', 'AT', 31, 'not stated', 'No', 'other', 'No']","['male', 'AT', 32, 'not stated', 'No', 'other', 'No']","['male', 'AT', 33, 'university', 'No', 'other', 'No']","['male', 'AT', 34, 'university', 'No', 'other', 'No']"
2414,"['female', 'AT', 17, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 18, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 19, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 20, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 21, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 22, 'university', 'No', 'service', 'Yes']","['female', 'AT', 23, 'not stated', 'No', 'service', 'Yes']","['female', 'AT', 24, 'university', 'No', 'service', 'Yes']","['female', 'AT', 25, 'university', 'No', 'service', 'Yes']","['female', 'AT', 26, 'university', 'No', 'service', 'Yes']","['female', 'AT', 27, 'university', 'No', 'service', 'Yes']"
879,"['male', 'AT', 26, 'high school', 'No', 'other', 'No']","['male', 'AT', 27, 'not stated', 'No', 'other', 'No']","['male', 'AT', 28, 'high school', 'No', 'other', 'No']","['male', 'AT', 29, 'high school', 'No', 'other', 'No']","['male', 'AT', 30, 'high school', 'No', 'other', 'No']","['male', 'AT', 31, 'high school', 'No', 'other', 'No']","['male', 'AT', 32, 'high school', 'No', 'other', 'No']","['male', 'AT', 33, 'high school', 'No', 'other', 'No']","['male', 'AT', 34, 'high school', 'No', 'other', 'No']","['male', 'AT', 35, 'university', 'No', 'other', 'No']","['male', 'AT', 36, 'university', 'No', 'other', 'No']"
1762,"['male', 'Non-EU', 24, 'high school', 'No', 'service', 'No']","['male', 'Non-EU', 25, 'high school', 'No', 'service', 'No']","['male', 'Non-EU', 26, 'not stated', 'No', 'service', 'No']","['male', 'Non-EU', 27, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 28, 'not stated', 'No', 'service', 'No']","['male', 'Non-EU', 29, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 30, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 31, 'not stated', 'No', 'service', 'No']","['male', 'Non-EU', 32, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 33, 'university', 'No', 'service', 'No']","['male', 'Non-EU', 34, 'university', 'No', 'service', 'No']"
2934,"['male', 'AT', 48, 'university', 'No', 'other', 'No']","['male', 'AT', 49, 'not stated', 'No', 'other', 'No']","['male', 'AT', 50, 'university', 'No', 'other', 'No']","['male', 'AT', 51, 'university', 'No', 'other', 'No']","['male', 'AT', 52, 'not stated', 'No', 'other', 'No']","['male', 'AT', 53, 'not stated', 'No', 'other', 'No']","['male', 'AT', 54, 'not stated', 'No', 'other', 'No']","['male', 'AT', 55, 'university', 'No', 'other', 'No']","['male', 'AT', 56, 'university', 'Yes', 'other', 'No']","['male', 'AT', 57, 'university', 'Yes', 'other', 'No']","['male', 'AT', 58, 'not stated', 'Yes', 'other', 'No']"
2307,"['female', 'AT', 40, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 41, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 42, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 43, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 44, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 45, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 46, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 47, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 48, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 49, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 50, 'high school', 'No', 'other', 'Yes']"
256,"['female', 'AT', 26, 'Compulsory', 'No', 'other', 'Yes']","['female', 'AT', 27, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 28, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 29, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 30, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 31, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 32, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 33, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 34, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 35, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 36, 'university', 'No', 'other', 'Yes']"
1992,"['female', 'AT', 28, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 29, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 30, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 31, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 32, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 33, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 34, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 35, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 36, 'university', 'No', 'other', 'Yes']","['female', 'AT', 37, 'university', 'No', 'other', 'Yes']","['female', 'AT', 38, 'university', 'No', 'other', 'Yes']"
80,"['female', 'AT', 49, 'not stated', 'No', 'service', 'Yes']","['female', 'AT', 50, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 51, 'Apprenticeship', 'No', 'service', 'Yes']","['female', 'AT', 52, 'university', 'No', 'service', 'Yes']","['female', 'AT', 53, 'university', 'No', 'service', 'Yes']","['female', 'AT', 54, 'university', 'No', 'service', 'Yes']","['female', 'AT', 55, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 56, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 57, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 58, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 59, 'not stated', 'Yes', 'service', 'Yes']"
1831,"['female', 'AT', 26, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 27, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 28, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 29, 'Apprenticeship', 'No', 'other', 'Yes']","['female', 'AT', 30, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 31, 'university', 'No', 'other', 'Yes']","['female', 'AT', 32, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 33, 'university', 'No', 'other', 'Yes']","['female', 'AT', 34, 'university', 'No', 'other', 'Yes']","['female', 'AT', 35, 'university', 'No', 'other', 'Yes']","['female', 'AT', 36, 'university', 'No', 'other', 'Yes']"
