,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
408,"['male', 'AT', 20, 'Apprenticeship', 'No', 'service', 'No']","['male', 'AT', 21, 'Apprenticeship', 'No', 'service', 'No']","['male', 'AT', 22, 'university', 'No', 'service', 'No']","['male', 'AT', 23, 'university', 'No', 'service', 'No']","['male', 'AT', 24, 'not stated', 'No', 'service', 'No']","['male', 'AT', 25, 'university', 'No', 'service', 'No']","['male', 'AT', 26, 'university', 'No', 'service', 'No']","['male', 'AT', 27, 'university', 'No', 'service', 'No']","['male', 'AT', 28, 'university', 'No', 'service', 'No']","['male', 'AT', 29, 'not stated', 'No', 'service', 'No']","['male', 'AT', 30, 'university', 'No', 'service', 'No']"
2579,"['male', 'AT', 52, 'Compulsory', 'No', 'other', 'No']","['male', 'AT', 53, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 54, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 55, 'Apprenticeship', 'Yes', 'other', 'No']","['male', 'AT', 56, 'Apprenticeship', 'Yes', 'other', 'No']","['male', 'AT', 57, 'not stated', 'Yes', 'other', 'No']","['male', 'AT', 58, 'not stated', 'Yes', 'other', 'No']","['male', 'AT', 59, 'university', 'Yes', 'other', 'No']","['male', 'AT', 60, 'university', 'Yes', 'other', 'No']","['male', 'AT', 61, 'university', 'Yes', 'other', 'No']","['male', 'AT', 62, 'not stated', 'Yes', 'other', 'No']"
2776,"['male', 'AT', 29, 'not stated', 'No', 'other', 'No']","['male', 'AT', 30, 'Compulsory', 'No', 'other', 'No']","['male', 'AT', 31, 'university', 'No', 'other', 'No']","['male', 'AT', 32, 'not stated', 'No', 'other', 'No']","['male', 'AT', 33, 'university', 'No', 'other', 'No']","['male', 'AT', 34, 'university', 'No', 'other', 'No']","['male', 'AT', 35, 'university', 'No', 'other', 'No']","['male', 'AT', 36, 'university', 'No', 'other', 'No']","['male', 'AT', 37, 'not stated', 'No', 'other', 'No']","['male', 'AT', 38, 'university', 'No', 'other', 'No']","['male', 'AT', 39, 'university', 'No', 'other', 'No']"
1073,"['female', 'AT', 51, 'Compulsory', 'No', 'other', 'Yes']","['female', 'AT', 52, 'Compulsory', 'No', 'other', 'Yes']","['female', 'AT', 53, 'Compulsory', 'No', 'other', 'Yes']","['female', 'AT', 54, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 55, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 56, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 57, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 58, 'high school', 'Yes', 'other', 'Yes']","['female', 'AT', 59, 'high school', 'Yes', 'other', 'Yes']","['female', 'AT', 60, 'high school', 'Yes', 'other', 'Yes']","['female', 'AT', 61, 'university', 'Yes', 'other', 'Yes']"
472,"['male', 'AT', 17, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 18, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 19, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 20, 'not stated', 'No', 'other', 'No']","['male', 'AT', 21, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 22, 'university', 'No', 'other', 'No']","['male', 'AT', 23, 'university', 'No', 'other', 'No']","['male', 'AT', 24, 'university', 'No', 'other', 'No']","['male', 'AT', 25, 'not stated', 'No', 'other', 'No']","['male', 'AT', 26, 'not stated', 'No', 'other', 'No']","['male', 'AT', 27, 'university', 'No', 'other', 'No']"
2546,"['female', 'AT', 59, 'university', 'Yes', 'other', 'No']","['female', 'AT', 60, 'university', 'Yes', 'other', 'No']","['female', 'AT', 61, 'university', 'Yes', 'other', 'No']","['female', 'AT', 62, 'university', 'Yes', 'other', 'No']","['female', 'AT', 63, 'university', 'Yes', 'other', 'No']","['female', 'AT', 64, 'not stated', 'Yes', 'other', 'No']","['female', 'AT', 65, 'not stated', 'Yes', 'other', 'No']","['female', 'AT', 66, 'university', 'Yes', 'other', 'No']","['female', 'AT', 67, 'not stated', 'Yes', 'other', 'No']","['female', 'AT', 68, 'university', 'Yes', 'other', 'No']","['female', 'AT', 69, 'not stated', 'Yes', 'other', 'No']"
44,"['female', 'AT', 32, 'Compulsory', 'No', 'other', 'Yes']","['female', 'AT', 33, 'university', 'No', 'other', 'Yes']","['female', 'AT', 34, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 35, 'university', 'No', 'other', 'Yes']","['female', 'AT', 36, 'university', 'No', 'other', 'Yes']","['female', 'AT', 37, 'university', 'No', 'other', 'Yes']","['female', 'AT', 38, 'university', 'No', 'other', 'Yes']","['female', 'AT', 39, 'university', 'No', 'other', 'Yes']","['female', 'AT', 40, 'university', 'No', 'other', 'Yes']","['female', 'AT', 41, 'university', 'No', 'other', 'Yes']","['female', 'AT', 42, 'university', 'No', 'other', 'Yes']"
1005,"['female', 'AT', 26, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 27, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 28, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 29, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 30, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 31, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 32, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 33, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 34, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 35, 'high school', 'No', 'other', 'Yes']","['female', 'AT', 36, 'high school', 'No', 'other', 'Yes']"
1298,"['male', 'AT', 24, 'Compulsory', 'No', 'other', 'No']","['male', 'AT', 25, 'university', 'No', 'other', 'No']","['male', 'AT', 26, 'university', 'No', 'other', 'No']","['male', 'AT', 27, 'not stated', 'No', 'other', 'No']","['male', 'AT', 28, 'university', 'No', 'other', 'No']","['male', 'AT', 29, 'not stated', 'No', 'other', 'No']","['male', 'AT', 30, 'university', 'No', 'other', 'No']","['male', 'AT', 31, 'not stated', 'No', 'other', 'No']","['male', 'AT', 32, 'not stated', 'No', 'other', 'No']","['male', 'AT', 33, 'university', 'No', 'other', 'No']","['male', 'AT', 34, 'university', 'No', 'other', 'No']"
194,"['female', 'AT', 55, 'Compulsory', 'No', 'service', 'Yes']","['female', 'AT', 56, 'Apprenticeship', 'Yes', 'service', 'Yes']","['female', 'AT', 57, 'Apprenticeship', 'Yes', 'service', 'Yes']","['female', 'AT', 58, 'not stated', 'Yes', 'service', 'Yes']","['female', 'AT', 59, 'Apprenticeship', 'Yes', 'service', 'Yes']","['female', 'AT', 60, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 61, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 62, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 63, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 64, 'university', 'Yes', 'service', 'Yes']","['female', 'AT', 65, 'not stated', 'Yes', 'service', 'Yes']"
